Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,Latitude,Longitude,Count
Kalimantan Barat,KETAPANG,Nanga Tayap,Kayung Tuhe,12-08-2024,12:16 WIB,NASA-SNPP,Medium,-1.59026,110.61584500000001,2
Kalimantan Barat,KETAPANG,Pemahan,Usaha Baru,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-1.6946,110.49373,1
Kalimantan Barat,KETAPANG,Pemahan,Usaha Baru,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-1.69453,110.498155,2
Kalimantan Barat,KETAPANG,Simpang Dua,Gema,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-0.82652,110.4229,1
Kalimantan Barat,KETAPANG,Simpang Dua,Gema,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-0.8255,110.42924,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Semandang Kiri,12-08-2024,12:16 WIB,NASA-SNPP,Medium,-0.666355,110.42794,2
Kalimantan Barat,KETAPANG,Simpang Hulu,Semandang Kiri,12-08-2024,12:16 WIB,NASA-SNPP,Medium,-0.610805,110.44315,2
Kalimantan Barat,KETAPANG,Sungai Laur,Merabu Jaya,12-08-2024,12:16 WIB,NASA-SNPP,Medium,-0.70551,110.60106,1
Kalimantan Barat,KETAPANG,Sungai Laur,Selangkut Raya,12-08-2024,12:16 WIB,NASA-SNPP,Medium,-0.77176,110.600515,2
Kalimantan Barat,KETAPANG,Sungai Laur,Selangkut Raya,12-08-2024,12:16 WIB,NASA-SNPP,Medium,-0.76533,110.59964,1
Kalimantan Barat,KETAPANG,Tumbang Titi,Nanga Kelampai,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-1.916995,110.472955,2
Kalimantan Barat,KETAPANG,Tumbang Titi,Tanjung Maloi,12-08-2024,13:57 WIB,NASA-SNPP,Medium,-1.800265,110.674825,2
